Date,price
2010/12/20,127.135962
2010/12/21,124.958844
2010/12/22,122.994284
2010/12/23,122.839696
2010/12/24,121.557902
2010/12/27,117.867107
2010/12/28,118.041019
2010/12/29,119.805902
2010/12/30,117.184342
2010/12/31,118.466137
2011/1/4,119.483843
2011/1/5,116.636842
2011/1/6,116.095783
2011/1/7,115.760842
2011/1/10,112.276165
2011/1/11,111.793077
2011/1/12,112.379224
2011/1/13,115.612695
2011/1/14,116.063577
2011/1/17,113.100636
2011/1/18,117.590136
2011/1/19,117.764048
2011/1/20,115.986283
2011/1/21,113.293871
2011/1/24,110.479077
2011/1/25,109.9509
2011/1/26,110.87843
2011/1/27,111.471018
2011/1/28,111.651371
2011/1/31,114.646518
2011/2/1,116.121548
2011/2/9,114.627195
2011/2/10,119.181107
2011/2/11,119.116696
2011/2/14,120.520872
2011/2/15,119.316372
2011/2/16,118.311548
2011/2/17,116.752783
2011/2/18,117.216548
2011/2/21,118.182725
2011/2/22,117.152136
2011/2/23,117.71896
2011/2/24,117.326048
2011/2/25,115.69643
2011/2/28,115.09096
2011/3/1,115.065195
2011/3/2,114.144107
2011/3/3,112.720606
2011/3/4,113.319636
2011/3/7,114.253607
2011/3/8,113.828489
2011/3/9,114.646518
2011/3/10,117.229431
2011/3/11,115.96696
2011/3/14,117.796254
2011/3/15,115.470989
2011/3/16,117.126372
2011/3/17,121.757578
2011/3/18,123.123108
2011/3/21,120.533755
2011/3/22,119.644872
2011/3/23,120.153725
2011/3/24,118.227813
2011/3/25,118.150519
2011/3/28,116.527342
2011/3/29,115.264871
2011/3/30,115.110283
2011/3/31,115.844577
2011/4/1,115.593371
2011/4/6,113.995959
2011/4/7,112.681959
2011/4/8,113.145724
2011/4/11,114.324459
2011/4/12,114.279371
2011/4/13,114.865518
2011/4/14,113.197253
2011/4/15,111.033018
2011/4/18,111.471018
2011/4/19,111.677136
2011/4/20,112.591783
2011/4/21,112.63043
2011/4/22,113.461342
2011/4/25,117.912195
2011/4/26,116.694813
2011/4/27,116.68193
2011/4/28,114.923489
2011/4/29,117.429107
2011/5/3,119.715725
2011/5/4,118.195607
2011/5/5,119.129578
2011/5/6,119.683519
2011/5/9,118.620725
2011/5/10,118.253578
2011/5/11,119.335696
2011/5/12,120.656137
2011/5/13,120.875137
2011/5/16,120.881578
2011/5/17,120.855813
2011/5/18,125.570755
2011/5/19,128.746256
2011/5/20,129.358168
2011/5/23,126.91052
2011/5/24,125.351755
2011/5/25,125.351755
2011/5/26,127.979756
2011/5/27,124.791373
2011/5/30,130.453168
2011/5/31,131.271197
2011/6/1,135.193875
2011/6/2,133.068286
2011/6/3,136.301757
2011/6/7,133.892757
2011/6/8,134.453139
2011/6/9,129.995844
2011/6/10,130.472491
2011/6/13,129.783285
2011/6/14,131.696315
2011/6/15,130.891168
2011/6/16,130.768786
2011/6/17,134.382286
2011/6/20,131.052197
2011/6/21,130.949139
2011/6/22,132.643168
2011/6/23,133.970051
2011/6/24,132.971668
2011/6/27,134.150404
2011/6/28,135.554581
2011/6/29,135.870198
2011/6/30,136.958757
2011/7/1,137.2596
2011/7/4,138.255221
2011/7/5,137.116345
2011/7/6,136.858487
2011/7/7,139.03596
2011/7/8,139.014472
2011/7/11,140.984225
2011/7/12,138.770938
2011/7/13,139.379771
2011/7/14,138.419964
2011/7/15,139.780885
2011/7/18,142.509889
2011/7/19,142.423936
2011/7/20,143.176024
2011/7/21,145.711634
2011/7/22,147.753015
2011/7/25,145.869214
2011/7/26,145.80475
2011/7/27,146.349118
2011/7/28,148.805938
2011/7/29,148.046688
2011/8/1,145.67582
